spu_code,country,product_id
S231227004777,GB,1729403680148065335
S240516000468,AT,1729835721164626119
S240125000529,AT,1729846717792951064
S230627005609,AT,1729851709633894514
S240530001048,AT,1729835721257949383
S240530001048,DE,1729480663022147783
S240530006454,AT,1729847717035874691
S240329007225,AT,1729847247710690040
S230628004022,BE,1729872947899243259
S240304006163,BE,1729851522038667480
S240514002232,BE,1729836134265493703
S231201004174,BE,1729850645813172984
S240417002211,AT,1729855097977215736
S240329007225,BE,1729849019311561464
S240625005184,AT,1729846654310783736
S240617006065,AT,1729842214482320298
S240624005640,AT,1729848522309278264
S240514005841,BE,1729835719295539399
S240516001450,CZ,1729835720638568647
S240419006151,AT,1729846577086307078
S230721000832,AT,1729885241401842350
S240419006151,BE,1729846577041414918
S240416006597,DE,1729481735748032899
S240229001508,DE,1729483330029918478
S231028002041,AT,1729845139927570804
S240229004366,AT,1729841512290752782
S231117003326,AT,1729848879337544560
S240228002477,AT,1729852109094689179
S231031002089,BE,1729850453173902068
S240516000816,BE,1729836764188416199
S240408000462,BE,1729855160260139278
S240110002456,BE,1729851464858507636
S240627002082,CZ,1729841484429433102
S240308005321,CZ,1729880148494948763
S240611003308,GB,1729411268811459783
S240214000183,AT,1729846721340873009
S231201004174,AT,1729848360167381752
S240425006405,AT,1729841916669172280
S231205001739,AT,1729850699180448155
S230614000045,AT,1729848493060102904
S240516000769,BE,1729835720329500871
S230524000322,DE,1729518630080387758
S231211002400,AT,1729855034626054904
S230913000233,AT,1729845825917720948
S240701005248,AT,1729847927303084788
S231127003544,BE,1729855096717417208
S240516001450,BE,1729835720631425223
S240425006129,CZ,1729841846403766840
S240617006065,BE,1729875258841734058
S240531006688,CZ,1729842022088284728
S240416006999,CZ,1729849996079438211
S240419006151,CZ,1729846577041808134
S240605001901,CZ,1729836133688514759
S231221001368,CZ,1729851524114520280
S240621002828,BE,1729866604305160955
S240411008163,BE,1729848316162972020
S240229004366,BE,1729846631953242382
S240613007638,CZ,1729890524903021223
S240617001899,CZ,1729849037065066686
S240229001508,AT,1729847787411380494
S231117003326,CZ,1729848881006156656
S231103000470,DE,1729532525411015342
S240229001508,CZ,1729847785245546766
S231211002400,CZ,1729855035212995320
S240126001171,CZ,1729846435708508571
S230518000905,DE,1729518664999410350
S240625005184,DE,1729509350695213816
S240621002828,CZ,1729848306725001979
S240516001053,CZ,1729835720274385095
S240621002668,CZ,1729847488623647483
S231106002558,GB,1729402183698517537
S240516000468,DE,1729480739009960135
S240321007892,DE,1729482384794229601
S240612006904,DE,1729488693989251832
S240516001450,FR,1729481640276564167
S240514005841,CZ,1729835720653510855
